Level	Rule Name	Subject	Property	Value
WARN	multiple_asserted_superclasses	UBERON:0010371	rdfs:subClassOf	UBERON:0004121	
WARN	multiple_asserted_superclasses	UBERON:0010378	rdfs:subClassOf	UBERON:0004120	
WARN	multiple_asserted_superclasses	UBERON:0010378	rdfs:subClassOf	UBERON:0005291	
WARN	multiple_asserted_superclasses	UBERON:0010378	rdfs:subClassOf	UBERON:0007524	
WARN	multiple_asserted_superclasses	UBERON:0010499	rdfs:subClassOf	UBERON:0007592	
WARN	multiple_asserted_superclasses	UBERON:0010499	rdfs:subClassOf	UBERON:0010498	
WARN	multiple_asserted_superclasses	UBERON:0011137	rdfs:subClassOf	CARO:0000003	
WARN	multiple_asserted_superclasses	UBERON:0011137	rdfs:subClassOf	UBERON:0000075	
WARN	multiple_asserted_superclasses	UBERON:0011138	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0011138	rdfs:subClassOf	UBERON:0000075	
WARN	multiple_asserted_superclasses	UBERON:0012275	rdfs:subClassOf	UBERON:0000483	
WARN	multiple_asserted_superclasses	UBERON:0012275	rdfs:subClassOf	UBERON:0004120	
WARN	multiple_asserted_superclasses	UBERON:0014477	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0014477	rdfs:subClassOf	UBERON:0010912	
WARN	multiple_asserted_superclasses	UBERON:0016879	rdfs:subClassOf	BFO:0000004	
WARN	multiple_asserted_superclasses	UBERON:0016879	rdfs:subClassOf	UBERON:0006598	
WARN	multiple_asserted_superclasses	UBERON:0036072	rdfs:subClassOf	UBERON:0004185	
